person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status,Type
25,45000,RENT,6.0,MEDICAL,C,17000,12.99,0.36,Y,3,1,1
33,65000,RENT,3.0,DEBTCONSOLIDATION,B,5000,11.49,0.08,N,5,0,1
26,90000,MORTGAGE,9.0,DEBTCONSOLIDATION,A,6500,7.14,0.07,N,2,0,1
26,67000,RENT,10.0,PERSONAL,B,10000,12.21,0.15,N,2,0,1
22,60000,RENT,6.0,MEDICAL,C,12500,14.22,0.21,Y,2,0,1
22,30000,RENT,3.0,EDUCATION,C,15000,12.53,0.5,N,3,1,1
24,51600,RENT,5.0,EDUCATION,B,10800,10.99,0.21,N,4,0,1
31,30000,RENT,0.0,PERSONAL,C,10000,13.48,0.33,Y,6,1,1
23,65000,RENT,8.0,MEDICAL,A,7200,6.99,0.11,N,2,0,1
22,60000,MORTGAGE,0.0,VENTURE,B,6000,10.25,0.1,N,4,0,1
27,110000,MORTGAGE,2.0,HOMEIMPROVEMENT,B,3000,11.99,0.03,N,6,0,1
35,30000,RENT,1.0,MEDICAL,D,6800,14.59,0.22,N,7,1,1
31,59000,RENT,3.0,HOMEIMPROVEMENT,B,16000,12.18,0.27,N,8,1,1
27,35000,RENT,1.0,DEBTCONSOLIDATION,B,4000,10.37,0.11,N,6,0,1
22,69000,MORTGAGE,1.0,HOMEIMPROVEMENT,D,8400,15.99,0.12,N,3,1,1
27,120000,RENT,3.0,VENTURE,B,18000,10.99,0.15,N,8,0,1
27,72000,MORTGAGE,11.0,VENTURE,C,10000,13.57,0.14,Y,5,0,1
23,60500,OWN,6.0,EDUCATION,C,5000,14.27,0.08,N,4,0,1
33,40000,RENT,0.0,PERSONAL,B,12000,10.71,0.3,N,7,1,1
22,58800,MORTGAGE,7.0,EDUCATION,C,12900,13.79,0.24,N,2,0,1
27,54000,RENT,11.0,VENTURE,B,8000,10.99,0.15,N,10,0,1
23,108000,RENT,7.0,EDUCATION,A,12000,8.49,0.11,N,3,0,1
23,90000,RENT,1.0,EDUCATION,B,24000,12.69,0.27,N,3,0,1
26,43680,MORTGAGE,5.0,VENTURE,B,5000,10.37,0.11,N,2,0,1
29,70000,MORTGAGE,3.0,VENTURE,A,10000,7.29,0.14,N,5,0,1
26,60000,MORTGAGE,5.0,HOMEIMPROVEMENT,A,5000,8.49,0.08,N,4,0,1
28,56400,MORTGAGE,12.0,DEBTCONSOLIDATION,D,2400,14.96,0.04,Y,7,1,1
28,28000,RENT,2.0,MEDICAL,A,7500,5.42,0.27,N,9,0,1
27,32000,RENT,5.0,MEDICAL,A,4000,6.62,0.13,N,8,0,1
22,46000,RENT,6.0,MEDICAL,A,10000,7.49,0.22,N,4,0,1
21,58800,MORTGAGE,5.0,EDUCATION,B,25000,11.83,0.43,N,4,0,1
21,34000,MORTGAGE,5.0,HOMEIMPROVEMENT,B,6000,12.69,0.18,N,2,1,1
24,30000,RENT,0.0,DEBTCONSOLIDATION,C,6000,13.11,0.2,N,3,0,1
25,45000,RENT,0.0,VENTURE,A,3800,6.03,0.09,N,4,0,1
27,65000,MORTGAGE,11.0,HOMEIMPROVEMENT,A,6500,7.51,0.1,N,7,0,1
25,60000,MORTGAGE,1.0,DEBTCONSOLIDATION,B,6000,12.21,0.1,N,4,0,1
58,60000,RENT,0.0,PERSONAL,C,8000,13.57,0.13,N,21,0,1
24,72000,RENT,2.0,DEBTCONSOLIDATION,B,9975,9.76,0.14,N,4,0,1
35,35000,RENT,1.0,VENTURE,A,10400,8.94,0.3,N,6,0,1
24,165000,RENT,3.0,DEBTCONSOLIDATION,B,10000,10.25,0.06,N,4,0,1
26,95000,RENT,1.0,HOMEIMPROVEMENT,B,4800,10.99,0.05,N,3,0,1
23,70000,RENT,3.0,PERSONAL,A,8400,6.92,0.12,N,4,0,1
29,43200,MORTGAGE,8.0,HOMEIMPROVEMENT,A,5000,6.91,0.12,N,6,1,1
24,200000,MORTGAGE,2.0,PERSONAL,B,15000,11.58,0.07,N,3,0,1
22,48996,RENT,1.0,PERSONAL,B,5000,10.59,0.1,N,4,0,1
25,36000,MORTGAGE,3.0,PERSONAL,A,6000,7.49,0.17,N,3,0,1
22,75000,MORTGAGE,4.0,EDUCATION,B,10000,11.49,0.13,N,4,0,1
26,56700,RENT,10.0,DEBTCONSOLIDATION,A,15000,6.99,0.26,N,3,0,1
34,30000,RENT,5.0,DEBTCONSOLIDATION,A,9000,7.51,0.3,N,8,1,1
29,40000,RENT,0.0,PERSONAL,D,7500,14.54,0.19,Y,8,1,1
25,33600,RENT,2.0,DEBTCONSOLIDATION,C,2400,13.49,0.07,Y,3,0,1
31,62900,MORTGAGE,2.0,MEDICAL,D,18000,14.09,0.24,N,5,1,1
35,65000,MORTGAGE,19.0,DEBTCONSOLIDATION,A,3000,6.99,0.05,N,9,0,1
24,59000,RENT,1.0,DEBTCONSOLIDATION,B,10000,9.63,0.17,N,3,0,1
23,40000,RENT,0.0,EDUCATION,C,12000,12.68,0.3,N,3,0,1
29,48000,RENT,9.0,DEBTCONSOLIDATION,A,5000,8.9,0.1,N,5,0,1
22,26000,RENT,0.0,EDUCATION,A,5000,7.9,0.19,N,2,0,1
31,33000,RENT,0.0,HOMEIMPROVEMENT,C,3000,13.61,0.09,Y,9,1,1
23,30000,RENT,1.0,MEDICAL,C,10000,13.23,0.33,N,2,1,1
29,117300,MORTGAGE,6.0,MEDICAL,C,14000,14.27,0.12,Y,9,1,1
23,34000,RENT,2.0,VENTURE,D,10000,14.96,0.29,Y,4,1,1
26,40000,RENT,2.0,VENTURE,A,12000,7.51,0.3,N,4,0,1
26,78000,MORTGAGE,1.0,DEBTCONSOLIDATION,D,18000,15.95,0.23,Y,3,0,1
42,40000,OWN,6.0,PERSONAL,A,6000,5.42,0.15,N,16,0,1
27,180000,MORTGAGE,11.0,PERSONAL,A,11500,8.59,0.06,N,8,0,1
29,48996,RENT,2.0,DEBTCONSOLIDATION,B,12000,10.37,0.24,N,9,0,1
26,42000,RENT,4.0,HOMEIMPROVEMENT,D,13750,18.25,0.33,N,2,1,1
27,72000,MORTGAGE,6.0,EDUCATION,A,10000,7.9,0.14,N,9,0,1
29,66000,MORTGAGE,13.0,HOMEIMPROVEMENT,A,8150,5.79,0.12,N,9,0,1
23,36000,RENT,3.0,VENTURE,C,5000,12.99,0.14,N,3,0,1
34,55000,OWN,4.0,PERSONAL,B,4000,10.99,0.07,N,9,0,1
30,105000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,19000,11.99,0.18,N,7,0,1
22,36000,RENT,3.0,MEDICAL,B,7500,10.38,0.21,N,2,0,1
22,40000,RENT,1.0,VENTURE,A,3650,6.91,0.09,N,2,0,1
24,26000,RENT,1.0,VENTURE,A,12000,6.91,0.46,N,3,1,1
32,50000,RENT,1.0,EDUCATION,C,10000,13.49,0.2,Y,5,0,1
22,29000,RENT,6.0,EDUCATION,A,7000,7.9,0.24,N,3,0,1
29,60000,RENT,7.0,MEDICAL,A,10000,6.17,0.17,N,8,0,1
26,33000,RENT,2.0,PERSONAL,B,7500,10.25,0.23,N,3,1,1
23,50000,OWN,5.0,PERSONAL,A,7000,8.49,0.14,N,3,0,1
32,48000,RENT,4.0,DEBTCONSOLIDATION,B,10000,9.88,0.21,N,10,0,1
31,30000,RENT,1.0,PERSONAL,B,5000,10.65,0.17,N,7,0,1
29,62050,MORTGAGE,13.0,MEDICAL,C,5000,13.35,0.08,N,5,1,1
28,45000,RENT,3.0,PERSONAL,D,10000,14.84,0.22,N,8,0,1
28,78000,RENT,2.0,EDUCATION,C,14000,13.48,0.18,Y,8,0,1
29,110000,RENT,1.0,HOMEIMPROVEMENT,C,20000,12.41,0.18,Y,5,0,1
22,42000,MORTGAGE,6.0,EDUCATION,A,7000,7.9,0.17,N,2,0,1
25,110000,RENT,1.0,DEBTCONSOLIDATION,B,12000,12.18,0.11,N,3,0,1
23,40000,RENT,4.0,MEDICAL,C,12000,11.03,0.3,Y,4,0,1
40,60000,RENT,5.0,HOMEIMPROVEMENT,C,10000,13.43,0.17,N,17,0,1
23,54000,MORTGAGE,1.0,HOMEIMPROVEMENT,C,3000,13.99,0.06,Y,4,1,1
29,83004,MORTGAGE,9.0,PERSONAL,A,5000,6.76,0.06,N,7,0,1
24,74000,RENT,3.0,VENTURE,B,10000,9.91,0.14,N,4,0,1
24,24000,RENT,2.0,PERSONAL,C,10625,14.27,0.45,Y,4,1,1
25,48000,MORTGAGE,9.0,HOMEIMPROVEMENT,A,10000,7.51,0.21,N,3,0,1
27,15600,RENT,1.0,HOMEIMPROVEMENT,C,5000,13.92,0.32,Y,10,1,1
28,30000,MORTGAGE,0.0,DEBTCONSOLIDATION,D,4400,14.61,0.15,N,6,1,1
23,30000,MORTGAGE,2.0,PERSONAL,B,6000,10.99,0.2,N,3,0,1
25,72000,MORTGAGE,7.0,MEDICAL,A,10000,6.03,0.14,N,2,0,1
24,100000,RENT,7.0,PERSONAL,A,12000,7.29,0.12,N,3,0,1
23,97000,RENT,0.0,DEBTCONSOLIDATION,A,1350,8.94,0.01,N,2,0,1
24,36000,RENT,5.0,DEBTCONSOLIDATION,A,4000,7.49,0.11,N,3,0,1
24,107364,MORTGAGE,1.0,DEBTCONSOLIDATION,A,8000,6.76,0.07,N,3,0,1
25,90000,RENT,0.0,DEBTCONSOLIDATION,C,20000,13.16,0.22,Y,4,0,1
25,154008,RENT,1.0,EDUCATION,D,8500,15.99,0.05,N,4,0,1
41,78996,MORTGAGE,25.0,HOMEIMPROVEMENT,B,9000,12.18,0.11,N,17,1,1
25,60000,RENT,6.0,VENTURE,B,25000,10.08,0.42,N,4,1,1
22,56000,OWN,6.0,EDUCATION,D,5600,13.36,0.1,N,3,0,1
23,99855,RENT,2.0,VENTURE,E,15000,17.06,0.15,N,4,0,1
25,60500,RENT,9.0,HOMEIMPROVEMENT,D,2800,15.65,0.05,N,2,0,1
21,55000,MORTGAGE,5.0,EDUCATION,C,25000,13.49,0.45,Y,2,0,1
28,46809,RENT,8.0,DEBTCONSOLIDATION,B,10000,12.42,0.21,Y,6,0,1
22,48000,RENT,1.0,EDUCATION,C,4800,13.49,0.1,N,4,0,1
27,65000,MORTGAGE,0.0,PERSONAL,A,15000,7.51,0.23,N,9,0,1
26,38400,RENT,0.0,MEDICAL,C,10000,13.47,0.26,Y,3,0,1
26,40000,MORTGAGE,7.0,VENTURE,A,11200,7.88,0.28,N,3,0,1
25,100000,MORTGAGE,5.0,VENTURE,A,6000,7.88,0.06,N,4,0,1
38,75000,MORTGAGE,5.0,PERSONAL,A,12000,6.62,0.16,N,12,0,1
38,130000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,7500,10.99,0.06,N,11,0,1
25,26000,RENT,0.0,PERSONAL,C,8400,12.72,0.3,Y,3,1,1
23,50000,MORTGAGE,3.0,EDUCATION,A,10000,6.03,0.2,N,2,0,1
32,80000,MORTGAGE,5.0,EDUCATION,A,15000,7.88,0.19,N,9,0,1
24,88400,MORTGAGE,8.0,EDUCATION,B,10000,9.88,0.12,N,2,0,1
24,130000,RENT,6.0,DEBTCONSOLIDATION,A,4800,7.9,0.35,N,3,1,1
30,35000,RENT,0.0,MEDICAL,B,10000,12.21,0.29,N,8,0,1
32,72000,MORTGAGE,10.0,HOMEIMPROVEMENT,A,8000,5.42,0.11,N,8,0,1
22,50000,RENT,0.0,MEDICAL,C,10000,13.49,0.2,Y,3,0,1
27,88000,RENT,4.0,PERSONAL,C,15000,13.48,0.17,Y,8,0,1
24,69000,MORTGAGE,3.0,PERSONAL,D,18250,16.02,0.26,N,2,0,1
24,42000,MORTGAGE,3.0,EDUCATION,A,7000,6.62,0.17,N,2,0,1
23,30000,RENT,7.0,PERSONAL,B,15000,12.21,0.5,N,4,1,1
